REGION;DEPARTEMENT;CODE_INSEE;COMMUNE;NB_REDEVABLES;PAT_MOYEN;IMPOTS_MOYEN
BRETAGNE;ILLE-ET-VILAINE;35288;SAINTMALO;483;2663816;9443;;;;;;;
BRETAGNE;MORBIHAN;56121;LORIENT;151;2488651;8418;;;;;;;
BRETAGNE;MORBIHAN;56260;VANNES;462;2491242;8814;;;;;;;
CENTRE-VALDELOIRE;CHER;18033;BOURGES;249;2313939;8445;;;;;;;
CENTRE-VALDELOIRE;EURE-ET-LOIR;28085;CHARTRES;286;2509646;10285;;;;;;;
CENTRE-VALDELOIRE;EURE-ET-LOIR;28134;DREUX;63;2650964;13062;;;;;;;
CENTRE-VALDELOIRE;INDRE;36044;CHATEAUROUX;145;2701742;11201;;;;;;;
CENTRE-VALDELOIRE;INDRE-ET-LOIRE;37122;JOUELESTOURS;89;2406464;8812;;;;;;;
CENTRE-VALDELOIRE;INDRE-ET-LOIRE;37261;TOURS;691;2452452;9901;;;;;;;
CENTRE-VALDELOIRE;LOIR-ET-CHER;41018;BLOIS;166;2444366;9501;;;;;;;
CENTRE-VALDELOIRE;LOIRET;45232;OLIVET;194;2438391;10489;;;;;;;
CENTRE-VALDELOIRE;LOIRET;45234;ORLEANS;587;2439518;9728;;;;;;;
CENTRE-VALDELOIRE;LOIRET;45284;SAINTJEANDEBRAYE;68;2109774;6982;;;;;;;
CORSE;CORSE-DU-SUD;2A004;AJACCIO;275;2762103;12167;;;;;;;
CORSE;HAUTE-CORSE;2B033;BASTIA;120;2501135;10707;;;;;;;
GRAND-EST;ARDENNES;08105;CHARLEVILLEMEZIERES;128;2285146;8364;;;;;;;
GRAND-EST;AUBE;10387;TROYES;206;2909408;13247;;;;;;;
GRAND-EST;BAS-RHIN;67180;HAGUENAU;157;2849602;10249;;;;;;;
GRAND-EST;BAS-RHIN;67218;ILLKIRCHGRAFFENSTADEN;107;2171732;7297;;;;;;;
GRAND-EST;BAS-RHIN;67447;SCHILTIGHEIM;71;2539596;9870;;;;;;;
GRAND-EST;BAS-RHIN;67482;STRASBOURG;1862;3273344;13247;;;;;;;
GRAND-EST;HAUT-RHIN;68066;COLMAR;311;2775376;12232;;;;;;;
GRAND-EST;HAUT-RHIN;68224;MULHOUSE;367;2877950;12184;;;;;;;
GRAND-EST;HAUT-RHIN;68297;SAINT-LOUIS;82;2628951;11125;;;;;;;
GRAND-EST;HAUTE-MARNE;52448;SAINT-DIZIER;54;3574163;10334;;;;;;;
GRAND-EST;MARNE;51108;CHALONSENCHAMPAGNE;121;2350793;8740;;;;;;;
GRAND-EST;MARNE;51230;EPERNAY;91;2825229;11316;;;;;;;
GRAND-EST;MARNE;51454;REIMS;823;2638416;10273;;;;;;;
GRAND-EST;MEURTHE-ET-MOSELLE;54395;NANCY;670;2758052;11831;;;;;;;
GRAND-EST;MEURTHE-ET-MOSELLE;54547;VANDOEUVRELESNANCY;68;2324338;8064;;;;;;;
GRAND-EST;MOSELLE;57463;METZ;404;2799108;12016;;;;;;;
GRAND-EST;MOSELLE;57480;MONTIGNYLESMETZ;107;2489913;11003;;;;;;;
GRAND-EST;MOSELLE;57631;SARREGUEMINES;68;2699775;9853;;;;;;;
GRAND-EST;MOSELLE;57672;THIONVILLE;227;2621327;10470;;;;;;;
GRAND-EST;VOSGES;88160;EPINAL;123;2977968;12546;;;;;;;
GUADELOUPE;GUADELOUPE;97113;LEGOSIER;101;2603757;10851;;;;;;;
GUYANE;GUYANE;97302;CAYENNE;60;2722788;14709;;;;;;;
GUYANE;GUYANE;97309;REMIRE-MONTJOLY;56;2736079;13468;;;;;;;
LES-HAUTS-DE-FRANCE;AISNE;02408;LAON;64;2364416;7868;;;;;;;
LES-HAUTS-DE-FRANCE;AISNE;02691;SAINTQUENTIN;156;2635912;12004;;;;;;;
LES-HAUTS-DE-FRANCE;AISNE;02722;SOISSONS;165;2525140;11432;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59122;CAMBRAI;156;2667042;8898;;;;;;;
LES-HAUTS-DE-FRANCE;NORD;59163;CROIX;284;4230316;18017;;;;;;;
