REGION;DEPARTEMENT;CODE_INSEE;COMMUNE;NB_REDEVABLES;PAT_MOYEN;IMPOTS_MOYEN
ILE-DE-FRANCE;PARIS;75105;VILLEDEPARIS;1550;2315262;9056;
ILE-DE-FRANCE;PARIS;75106;VILLEDEPARIS;2588;2763411;12680;
ILE-DE-FRANCE;PARIS;75107;VILLEDEPARIS;3913;3086756;15498;
ILE-DE-FRANCE;PARIS;75108;VILLEDEPARIS;1969;2800935;13269;
ILE-DE-FRANCE;PARIS;75109;VILLEDEPARIS;1045;2203111;8353;
ILE-DE-FRANCE;PARIS;75110;VILLEDEPARIS;482;2171290;8380;
ILE-DE-FRANCE;PARIS;75111;VILLEDEPARIS;985;2121354;7816;
ILE-DE-FRANCE;PARIS;75112;VILLEDEPARIS;1051;2173504;8502;
ILE-DE-FRANCE;PARIS;75113;VILLEDEPARIS;887;2136715;8132;
ILE-DE-FRANCE;PARIS;75114;VILLEDEPARIS;1655;2294997;9173;
ILE-DE-FRANCE;PARIS;75115;VILLEDEPARIS;2948;2189492;8302;
ILE-DE-FRANCE;PARIS;75116;VILLEDEPARIS;8502;2730206;12281;
ILE-DE-FRANCE;PARIS;75117;VILLEDEPARIS;3419;2395148;9582;
ILE-DE-FRANCE;PARIS;75118;VILLEDEPARIS;720;2396047;9882;
ILE-DE-FRANCE;PARIS;75119;VILLEDEPARIS;445;2162785;7990;
ILE-DE-FRANCE;PARIS;75120;VILLEDEPARIS;447;2050431;7419;
ILE-DE-FRANCE;SEINE-SAINT-DENIS;93048;MONTREUILSOUSBOIS;79;1995166;6757;
ILE-DE-FRANCE;SEINE-SAINT-DENIS;93051;NOISYLEGRAND;64;2215525;8937;
ILE-DE-FRANCE;SEINE-SAINT-DENIS;93077;VILLEMOMBLE;52;2197710;8727;
ILE-DE-FRANCE;VAL-DE-MARNE;94017;CHAMPIGNYSURMARNE;58;2033419;8003;
ILE-DE-FRANCE;VAL-DE-MARNE;94018;CHARENTONLEPONT;189;2152216;8020;
ILE-DE-FRANCE;VAL-DE-MARNE;94028;CRETEIL;69;1934450;5996;
ILE-DE-FRANCE;VAL-DE-MARNE;94033;FONTENAYSOUSBOIS;246;2325899;8820;
ILE-DE-FRANCE;VAL-DE-MARNE;94038;L'HAYLESROSES;52;2036460;7612;
ILE-DE-FRANCE;VAL-DE-MARNE;94046;MAISONSALFORT;102;2067675;7742;
ILE-DE-FRANCE;VAL-DE-MARNE;94052;NOGENTSURMARNE;294;2167697;8197;
ILE-DE-FRANCE;VAL-DE-MARNE;94058;LEPERREUXSURMARNE;172;2015398;6369;
ILE-DE-FRANCE;VAL-DE-MARNE;94067;SAINTMANDE;409;2414992;10187;
ILE-DE-FRANCE;VAL-DE-MARNE;94068;SAINTMAURDESFOSSES;670;2173509;8538;
ILE-DE-FRANCE;VAL-DE-MARNE;94071;SUCYENBRIE;59;1853016;5759;
ILE-DE-FRANCE;VAL-DE-MARNE;94080;VINCENNES;413;2031931;7426;
ILE-DE-FRANCE;VAL-D'OISE;95428;MONTMORENCY;117;2241278;10006;
ILE-DE-FRANCE;YVELINES;78126;LACELLE-SAINT-CLOUD;188;2113389;7128;
ILE-DE-FRANCE;YVELINES;78146;CHATOU;223;2099565;7472;
ILE-DE-FRANCE;YVELINES;78158;LECHESNAY;261;1951180;5947;
ILE-DE-FRANCE;YVELINES;78358;MAISONS-LAFFITTE;225;2040690;7041;
ILE-DE-FRANCE;YVELINES;78517;RAMBOUILLET;82;2069275;7343;
ILE-DE-FRANCE;YVELINES;78551;SAINT-GERMAIN-EN-LAYE;512;2197386;7627;
ILE-DE-FRANCE;YVELINES;78646;VERSAILLES;1096;2230287;7974;
LAREUNION;LAREUNION;97411;SAINTDENIS;280;2352407;9730;
LAREUNION;LAREUNION;97415;SAINTPAUL;165;2148115;7602;
LAREUNION;LAREUNION;97416;SAINTPIERRE;99;2276901;9544;
LAREUNION;LAREUNION;97422;TAMPON;88;2117836;8571;
LES-HAUTS-DE-FRANCE;NORD;59009;VILLENEUVED'ASCQ;94;2070243;6481;
LES-HAUTS-DE-FRANCE;NORD;59163;CROIX;90;2141498;7005;
LES-HAUTS-DE-FRANCE;NORD;59183;DUNKERQUE;53;2067612;5639;
LES-HAUTS-DE-FRANCE;NORD;59328;LAMBERSART;65;2145227;6986;
LES-HAUTS-DE-FRANCE;NORD;59350;LILLE;280;2328910;9136;
LES-HAUTS-DE-FRANCE;NORD;59378;MARCQENBAROEUL;231;2172489;7483;
LES-HAUTS-DE-FRANCE;NORD;59646;WASQUEHAL;60;2074088;7020;
LES-HAUTS-DE-FRANCE;OISE;60057;BEAUVAIS;57;2911724;12123;
LES-HAUTS-DE-FRANCE;OISE;60159;COMPIEGNE;94;2716764;10704;
LES-HAUTS-DE-FRANCE;SOMME;80021;AMIENS;139;2238634;9379;
NORMANDIE;CALVADOS;14118;CAEN;188;2196233;8706;
NORMANDIE;SEINE-MARITIME;76351;LEHAVRE;93;2217353;8469;
NORMANDIE;SEINE-MARITIME;76540;ROUEN;150;2079524;7411;
NOUVELLE-AQUITAINE;CHARENTE-MARITIME;17300;LAROCHELLE;209;2075408;8104;
NOUVELLE-AQUITAINE;CORREZE;19031;BRIVE;54;2635572;12944;
NOUVELLE-AQUITAINE;DEUX-SEVRES;79191;NIORT;55;2082492;8323;
NOUVELLE-AQUITAINE;GIRONDE;33063;BORDEAUX;1343;2193757;8728;
NOUVELLE-AQUITAINE;GIRONDE;33069;LEBOUSCAT;174;2310613;9593;
NOUVELLE-AQUITAINE;GIRONDE;33192;GRADIGNAN;68;2124433;8285;
NOUVELLE-AQUITAINE;GIRONDE;33281;MERIGNAC;127;2023024;7900;
NOUVELLE-AQUITAINE;GIRONDE;33318;PESSAC;107;2007906;6941;
NOUVELLE-AQUITAINE;GIRONDE;33522;TALENCE;81;1965738;7154;
NOUVELLE-AQUITAINE;GIRONDE;33529;LATESTEDEBUCH;173;2246477;8157;
NOUVELLE-AQUITAINE;HAUTE-VIENNE;87085;LIMOGES;125;2187093;8536;
NOUVELLE-AQUITAINE;PYRENEES-ATLANTIQUES;64024;ANGLET;169;2150960;8391;
